Description,ncRNA Name,Disease,PMID,Labels
The results showed that lncRNA LET expression in cervical cancer tissues was significantly down-regulated compared with the adjacent non-tumor tissues.,LET,cervical cancer,25755778,1
"LncRNAs H19, LSINCT5, and XIST have a close relationship to the development of ovarian cancer occurrence, growth, invasion, and metastasis, and they can promote ovarian cancer cell proliferation.",H19//XIST,ovarian cancer,25756403,1
Long non-coding RNA MALAT1 regulates hyperglycaemia induced inflammatory process in the endothelial cells.,MALAT1,hyperglycemia,25787249,1
"These findings revealed that a lower expression level of miR-15b was closely related to a shorter overall survival,suggesting that miR-15b could be an intrinsic factor that plays an important role in the malignant progression of gliomas.",miR-15b,gliomas,25811315,1
The level of HOTAIR expression in GBM was higher than in other low grade gliomas and normal brain tissues.,HOTAIR,GBM,25823657,1
The results indicated that the expression level of HOTAIR was higher in epithelial ovarian cancer tissues than the level in the benign ovarian tissues.,HOTAIR,ovarian cancer,25824616,1
"miR-182 integrates apoptosis, growth, and differentiation programs in glioblastoma.",miR-182,glioblastoma,25838542,1
"H19 lncRNA mediates 17beta-estradiol-induced cell proliferation in MCF-7 breast cancer cells, H19 lncRNA was much higher in estrogen receptor (ER)-positive MCF-7 breast cancer cells than in ER-negative MDA-MB-231 cells",H19,breast cancer,25846769,1
"MiR-206, a Cerebellum Enriched miRNA Is Downregulated in All Medulloblastoma Subgroups and Its Overexpression Is Necessary for Growth Inhibition of Medulloblastoma Cells.",MiR-206,Medulloblastoma,25859932,1
"Finally, miR-34a is tightly associated with survival of patients with gastric cancer.",miR-34a,gastric cancer,25860935,1
"HNF1A-AS1 was significantly up-regulated in lung adenocarcinoma tissues compared with corresponding non-tumor tissues,and its expression level was significantly correlated with TNM stage,tumor size,and lymph node metastasis.",HNF1A-AS1,lung adenocarcinoma,25863539,1
Our qPCR results showed that high LINC00472 expression was associated with less aggressive breast tumors and more favorable disease outcomes. Patients with high expression of LINC00472 had significantly reduced risk of relapse and death compared to those with low expression. Cell culture experiments showed that up-regulation of LINC00472 expression could suppress breast cancer cell proliferation and migration.,LINC00472,breast tumors,25865225,1
Elevated expression of UCA1 RNA was identified in ovarian cancer tissues compared with normal tissues.,UCA1,ovarian cancer,25866223,1
Hypoxia-induced miR-181b enhances angiogenesis of retinoblastoma cells by targeting PDCD10 and GATA6.,miR-181b,retinoblastoma,25872572,1
"Reduced-expression of miR-454 in osteosarcoma cells promoted tumour growth by targeting c-Met, thus miR-454 may be a potential therapy target for this tumour.",miR-454,osteosarcoma,25880599,1
MiR-221/222 overexpression significantly promoted pancreatic cancer cell proliferation and invasion while inhibiting apoptosis.,mir-222,pancreatic cancer,25883224,1
Long noncoding RNA PVT1 indicates a poor prognosis of gastric cancer and promotes cell proliferation through epigenetically regulating p15 and p16.,PVT1,gastric cancer,25890171,1
"a significant association between the rs57095329 SNP of the miR-146a gene and the risk of drug resistant epilepsy (DRE)(genotypes, p=0.0258 and alleles, p=0.0108).Moreover, the rs57095329 A allele was found to be associated with a reduced risk of seizures frequency in DRE patients (all p<0.001).",miR-146a,seizures,25891929,1
"These results demonstrated that baicalein probably somehow promoted the BANCR expression which negatively regulated Wnt signaling transduction, thus suppressing the viability of osteosarcoma MG-63 cells.",BANCR,osteosarcoma,25893737,1
"In our results,lncRNA BANCR is overexpressed in retinoblastoma tissues and cell lineand is associated with tumor size,choroidal invasion,and optic nerve invasion.",BANCR,retinoblastoma,25894373,1
Infiltrating mast cells enhance prostate cancer invasion via altering LncRNA-HOTAIR/PRC2-androgen receptor (AR)-MMP9 signals and increased stem/progenitor cell population.,HOTAIR,prostate cancer,25895025,1
ZXF2 was overexpressed in lung adenocarcinoma tissues and the high expression of ZXF was closely related to tumor progression through c-Myc related pathway.,ZXF2//ZXF,lung adenocarcinoma,25896422,1
Long non-coding RNA HOTAIR promotes tumor cell invasion and metastasis by recruiting EZH2 and repressing E-cadherin in oral squamous cell carcinoma.,HOTAIR,oral squamous cell carcinoma,25901533,1
Results showed that UCA1 expression was remarkably increased in gastric cancer tissues and cell lines compared with that in the normal control.,UCA1,gastric cancer,25903045,1
"UCA1 expression was remarkably increased in gastric tissues and cell linecompared with that in the normal control, high UCA1 expression correlated with worse differentiation,tumor size,invasion depth and TNM stage in gastric cancer, increased UCA1 expression contributed to poor overall survival and disease-free survival of patients.",UCA1,gastric cancer,25903045,1
LINC01133 is upregulated in lung squamous cell cancer and predicts survival,LINC01133,lung squamous cell carcinoma,25908174,1
"HOTTIP is expressed in pancreatic cancer cell lineand knockdown of HOTTIP by RNA interference (siHOTTIP) in Panc1 pancreatic cancer cells decreased proliferation,induced apoptosis and decreased migration.",HOTTIR,pancreatic cancer,25912306,1
"In this study,we found that cervical carcinoma high-expressed lncRNA 1 (lncRNA-CCHE1) was significantly upregulated in cervical cancer tissues.",CCHE1,Cervical cancer,25921283,1
Our results showed that GAS5 was significantly downregulated in lung adenocarcinoma tissues compared with the paired adjacent non-tumorous tissue samples.,GAS5,lung adenocarcinoma,25925741,1
"we found that HOTAIR was increased in the peripheral blood mononuclear cells and cancer tissues from breast cancer patients,and was especially higher in patients with metastatic breast cancer.",HOTAIR,breast cancer,25928008,1
"In this study,we show that BANCR expression was significantly down-regulated in colorectal cancer tissues compared with normal tissues,and overexpression of BANCR suppressed colorectal cancer cell growth in vitro and in vivo.",BANCR,colorectal cancer,25928067,1
We found that CCDC26 transcripts were abundant in the nuclear fraction of K562 human myeloid leukemia cells.,CCDC26,myeloid leukemia,25928165,1
"Long noncoding RNA, CCDC26, controls myeloid leukemia cell growth through regulation of KIT expression.",CCDC26,myeloid leukemia,25928165,1
"In this study,we found that PCAT-1 was up-regulated in bladder cancer compared to paired normal urothelium.PCAT-1 plays oncogenic roles.",PCAT-1,bladder cancer,25934337,1
Downregulation of miR-22 acts as an unfavorable prognostic biomarker in osteosarcoma.,miR-22,osteosarcoma,25953260,1
Overexpression of long non-coding RNA PVT1 in gastric cancer cells promotes the development of multidrug resistance.,PVT1,gastric cancer,25956062,1
"LncRNA GAS5 down-regulation reduced the YBX1 protein level, which decreased YBX1-transactivated p21 expression and abolished G1 phase cell cycle arrest in stomach cancer.",GAS5,stomach cancer,25959498,1
These findings indicate that miR-217 may act as a tumor suppressor in osteosarcoma and would serve as a novel therapeutic agent for miRNA-based therapy.,miR-217,osteosarcoma,25960216,1
miR-20a mediates temozolomide-resistance in glioblastoma cells via negatively regulating LRIG1 expression.,miR-20a//LRIG1,glioblastoma,25960225,1
miR-27a expression may be elevated in sera of osteosarcoma patients and in turn contributes to aggressive progression of this malignancy.,miR-27a,osteosarcoma,25960240,1
MiR-144 Inhibits Uveal Melanoma Cell Proliferation and Invasion by Regulating c-Met Expression.,MiR-144,Uveal Melanoma,25961751,1
The expression level of ANRIL was increased up to 13.6-fold by PLD inhibition in H460 human lung cancer cells.,ANRIL,lung cancer,25964559,1
"To further validate whether the reported HOTAIR has potential role in predict the prognosis in patients with digestive system cancer, we conducted an independent validation set including 71 gastric cancer cases by the method of qRT-PCR.",HOTAIR,gastric cancer,25968902,1
The expression level of AI364715 in gastric cancer tissues was downregulated. ,AI364715,gastric cancer,25971582,1
"These findings uncover a plausible mechanism for NF-κB-sustained TGF-β/Smad activation via miR-148a in glioblastoma, and may suggest a new target for clinical intervention in human cancer.",miR-148a,glioblastoma,25971746,1
"Down-expression of miR-182 in osteosarcoma promoted tumor growth,migration and invasion by targeting TIAM1.",miR-182,osteosarcoma,25973950,1
Sulforaphane enhances temozolomide-induced apoptosis because of down-regulation of miR-21 via Wnt/β-catenin signaling in glioblastoma.,miR-21,glioblastoma,25991372,1
We identified colorectal cancer-associated lncRNA (CCAL) as a key regulator of CRC progression.,CCAL,colorectal cancer,25994219,1
"Expression profiles of five lnc-RNAs (MEG3, HULC, HOTAIR, NEAT1, and MALAT-1) previously shown to be involved in cancer metastasis were detected by qPCR in 5 pairs of papillary thyroid cancer and 11 matched lymph node metastatic tissues.",NEAT1,papillary thyroid cancer,25997963,1
miRNA-449a is downregulated in osteosarcoma and promotes cell apoptosis by targeting BCL2.,miRNA-449a,osteosarcoma,26002578,1
Up-Regulation of MiR-300 Promotes Proliferation and Invasion of Osteosarcoma by Targeting BRD7.,MiR-300,Osteosarcoma,26010572,1
LncRNA BCAR4 wires up signaling transduction in breast cancer,BCAR4,breast cancer,26016563,1
"In clinical specimens, CASC15 levels increased during melanoma progression and were independent predictors of disease recurrence in a cohort of 141 patients with AJCC (American Joint Committee on Cancer) stage III lymph node metastasis.",CASC15,melanoma,26016895,1
"In the present study,we demonstrated that HULC was significantly up-regulated in osteosarcoma tissues and cell linecompared with normal controls,and over-expression of HULC was correlated with clinical stage and distant metastasis.",HULC,osteosarcoma,26045809,1
Expression of long non-coding RNA DLX6-AS1 in lung adenocarcinoma.,DLX6-AS1,lung adenocarcinoma,26052251,1
"In our results, the expression of BANCR was increased in gastric cancer tissues compared with paired adjacent normal tissues.",BANCR,gastric cancer,26054683,1
Amplification of Long Noncoding RNA ZFAS1 Promotes Metastasis in Hepatocellular Carcinoma.,ZFAS1,Hepatocellular Carcinoma,26069248,1
LncRNA TUG1 (taurine upregulated gene 1) was highly expressed in glioma vascular endothelial cells from glioma tissues.,TUG1,glioma,26078353,1
H19 lncRNA alters stromal cell growth via IGF signaling in the endometrium of women with endometriosis.,H19,endometriosis,26089099,1
The Long Noncoding RNA MEG3 Is Downregulated and Inversely Associated with VEGF Levels in Osteoarthritis.The results show that human MEG3 is significantly downregulated in OA patients compared to normal cartilage samples.,MEG3//VEGF,OA,26090403,1
"Conclusively, our preliminary findings indicate that serum miR-145 upregulated in acute ischemic stroke might be a new biomarker for acute ischemia stroke evaluation.",miR-145,acute ischemia,26096228,1
"In this study,we report that HOTAIR may function as a ceRNA to regulate the expression of MAPK1 through competition for miR-1,miR-214-3p,or miR-330-5p in ovarian SKOV3 cells,providing a new insight in the treatment of ovarian cancer.",HOTAIR//miR-1//miR-214-3p//miR-330-5p,ovarian cancer,26117268,1
Knockdown of long non-coding RNA HOTAIR inhibits cisplatin resistance of gastric cancer cells through inhibiting the PI3K/Akt and Wnt/beta-catenin signaling pathways by up-regulating miR-34a;HOTAIR directly bound to miR-34a.,HOTAIR,gastric cancer,26136075,1
